LP, LP_VERB, B
1, jeden, pierwszy
2, dwa, dwoje
3, trzy, troje
4, cztery, czworo
5, pięć, pięcioro
6, cześć, sześcioro
7, siedem, siedmioro
8, osiem, osmioro
9, dziewięć, dziewięćcioro
10, dziesięć, dziesięcioro
