LP, LP_VERB, M, D, B
1, jeden, pierwszy, pierwszego, pierwszy
2, dwa, dwa, dwóch, dwa
3, trzy, trzy, trzech, trzy
4, cztery, cztery, czterech, cztery
5, pięć, pięć, pięciu, pięć
6, cześć, sześć sześciu, sześć
7, siedem, siedem, siedmiu, siedem
8, osiem, osiem, ośmiu, osiem
9, dziewięć, dziewięć, dziewięciu, dziewięć
10, dziesięć, dziesięć, dziesięciu, dziesięć
