touching, {} {} styka się z {} {}
crossing, {} {} nachodzi na {} {}
close_to, {} {} jest blisko {} {}
inside, wewnątrz {} zna
near, obok {} znjaduje się {}
far, daleko od {} jest {}
larger, {} jest większy od {}
split, {} rozdziela {}
same, {} jest tej samej wielkości co {}
